Counter,Date/time,Latitude,Longitude,Elevation
382,2022-04-18 23:07:55.145528,-24.315754448978502,-83.29338193961232,426.4781068974085
383,2022-04-18 23:08:09.962108,-25.017338454324396,-82.6391020773336,426.7361607268214
384,2022-04-18 23:08:25.184563,-25.734418052320255,-81.9584382745715,427.0021485170509
385,2022-04-18 23:08:40.043780,-26.430575466716483,-81.28543798320617,427.26240794660873
386,2022-04-18 23:08:54.842395,-27.120011402173546,-80.60641948769901,427.5220009293314
387,2022-04-18 23:09:09.612124,-27.80405077380302,-79.9197105968323,427.7812521979667
388,2022-04-18 23:09:24.853800,-28.505546755357262,-79.20125132630989,428.048734913295
389,2022-04-18 23:09:39.709849,-29.184827710834043,-78.49102376215892,428.3091750704163
390,2022-04-18 23:09:54.556554,-29.85907027882802,-77.7711127050261,428.56894361259987
391,2022-04-18 23:10:09.397036,-30.52826072269045,-77.04100984603679,428.82787882083403
392,2022-04-18 23:10:24.581629,-31.207809577256363,-76.2827750027507,429.0918232342219
393,2022-04-18 23:10:39.744577,-31.881001722542376,-75.51390236935883,429.3541575882987
394,2022-04-18 23:10:54.958617,-32.55079247724208,-74.7303240664173,429.6158776465989
395,2022-04-18 23:11:09.792205,-33.198189771764135,-73.95423121724038,429.8693905532391
396,2022-04-18 23:11:24.992018,-33.855527442959236,-73.14622259119973,430.1272081088675
397,2022-04-18 23:11:39.822007,-34.490778356265714,-72.34500909554586,430.3766281219527
398,2022-04-18 23:11:54.665829,-35.12033745229958,-71.52997257118032,430.62394292998283
399,2022-04-18 23:12:09.497909,-35.74288326132086,-70.70212969435144,430.868503412256
400,2022-04-18 23:12:24.701874,-36.374021188079595,-69.83917410502845,431.11630846860555
401,2022-04-18 23:12:39.481492,-36.980470007003426,-68.98599450716715,431.35416863807836
402,2022-04-18 23:12:54.328215,-37.58238894106226,-68.11435133093057,431.5898827429054
403,2022-04-18 23:13:09.546694,-38.19152029950184,-67.20530744904738,431.82791575550465
404,2022-04-18 23:13:24.719214,-38.79058405815244,-66.28292755031687,432.0613856187566
405,2022-04-18 23:13:39.562490,-39.36841122307196,-65.3646291884745,432.285859432453
406,2022-04-18 23:13:54.756706,-39.951134715847566,-64.40793739765297,432.5113876583084
407,2022-04-18 23:14:09.972131,-40.525461113026225,-63.432615211790086,432.7326984130774
408,2022-04-18 23:14:24.768105,-41.07478907648783,-62.46723733477391,432.94334753354894
409,2022-04-18 23:14:39.992618,-41.630266215164674,-61.45608544271963,433.1551966746347
410,2022-04-18 23:14:55.103237,-42.171420659966785,-60.43434855942848,433.3603266154048
411,2022-04-18 23:15:09.910660,-42.691538855803394,-59.41527958023704,433.55617894628045
412,2022-04-18 23:15:25.097384,-43.2141739660867,-58.351432107367536,433.7515508184438
413,2022-04-18 23:15:39.984468,-43.715492002572574,-57.28999775208644,433.9374671580508
414,2022-04-18 23:15:54.795169,-44.203058391641676,-56.21553356608753,434.11674398986895
